File,No. of Sentences,TTR,Avg Sentence Length,Avg Word Length,Pronoun Count,Pronoun Count per Sentence
BitGCSE,,,,,,
1128.txt,31,0.4279210926,27.7741935484,4.3405172414,95,3.064516129
2298.txt,13,0.6324786325,20.6153846154,4.3849372385,20,1.5384615385
265.txt,15,0.6225680934,19.2,4.3333333333,20,1.3333333333
3860.txt,13,0.5529953917,20.0769230769,4.3243243243,16,1.2307692308
4545.txt,13,0.5559322034,25.3076923077,4.6363636364,9,0.6923076923
5065.txt,7,0.6616541353,21.8571428571,4.7014925373,9,1.2857142857
5316.txt,7,0.6554054054,24,4.5945945946,6,0.8571428571
6144.txt,33,0.3610586011,17.9090909091,4.8301886793,12,0.3636363636
6519.txt,68,0.330078125,16.7794117647,4.7205452775,41,0.6029411765
811.txt,17,0.5071770335,13.7647058824,4.6459330144,23,1.3529411765
BitGCSE Total,217,0.2720647773,19.7880184332,4.5777305342,251,1.1566820276
BitGCSE Average,21.7,0.5307268714,20.7284544962,4.5512229877,25.1,1.2321763783
BitKS3,,,,,,
100.txt,10,0.5909090909,18.2,4.5286624204,8,0.8
162.txt,21,0.5889967638,17.5238095238,4.2776025237,22,1.0476190476
213.txt,6,0.6464646465,18.6666666667,4.2626262626,8,1.3333333333
228.txt,12,0.5459770115,18,3.9572192513,11,0.9166666667
344.txt,11,0.5301204819,18.8181818182,3.6722222222,7,0.6363636364
385.txt,12,0.6181818182,16.25,4.1812865497,10,0.8333333333
435.txt,9,0.6071428571,18.2222222222,4.0965517241,8,0.8888888889
464.txt,12,0.5602094241,18.0833333333,4.1846153846,11,0.9166666667
621.txt,6,0.65625,18.5,4.2083333333,8,1.3333333333
622.txt,6,0.6565656566,18.8333333333,4.19,9,1.5
BitKS3 Total,105,0.2410546139,17.9523809524,4.1517911354,102,0.9714285714
BitKS3 Average,10.5,0.6000817751,18.1097546898,4.1559119672,10.2,1.0206204906
WRLevel4,,,,,,
225.txt,5,0.7037037037,26.2,4.4537037037,1,0.2
267.txt,15,0.5797101449,20.9333333333,4.3087719298,12,0.8
294.txt,34,0.4711538462,14.0882352941,4.1697674419,38,1.1176470588
323.txt,36,0.4962406015,17.75,4.3411131059,12,0.3333333333
358.txt,7,0.7647058824,14.4285714286,4.2272727273,6,0.8571428571
409.txt,20,0.5886792453,15.15,4.9194139194,5,0.25
438.txt,31,0.4987080103,14.4193548387,4.5280612245,14,0.4516129032
445.txt,14,0.6162790698,13.7857142857,4.7371428571,2,0.1428571429
55.txt,22,0.527607362,16.6818181818,4.5535168196,6,0.2727272727
715.txt,36,0.4524886878,20.9722222222,4.4897058824,22,0.6111111111
WRLevel4 Total,220,0.3263157895,16.95,4.4588235294,118,0.5363636364
WRLevel4 Average,22,0.5699276554,17.4409249584,4.4728469612,11.8,0.5036431679
WRLevel3,,,,,,
285.txt,14,0.6279069767,13.8571428571,4.367816092,5,0.3571428571
292.txt,11,0.6098901099,19.9090909091,4.1041666667,11,1
296.txt,25,0.6042553191,11.4,4.2304526749,11,0.44
492.txt,35,0.5301204819,11.1142857143,4.4792899408,10,0.2857142857
622.txt,15,0.7894736842,11.0666666667,4.8208955224,11,0.7333333333
709.txt,17,0.7096774194,12.9411764706,4.5767195767,14,0.8235294118
711.txt,15,0.6627218935,13.0666666667,4.5882352941,5,0.3333333333
717.txt,14,0.7142857143,13.2857142857,4.4968553459,6,0.4285714286
764.txt,17,0.6543209877,11.6470588235,4.2606060606,6,0.3529411765
81.txt,8,0.7375,11.75,4.3855421687,2,0.25
WRLevel3 Total,171,0.4072022161,12.5555555556,4.4195993503,81,0.4736842105
WRLevel3 Average,17.1,0.6640152587,13.0037802394,4.4310579343,8.1,0.5004565826
WRLevel2,,,,,,
216.txt,18,0.5449438202,11.2777777778,4.297752809,2,0.1111111111
242.txt,7,0.5512820513,12.2857142857,4.4487179487,2,0.2857142857
348.txt,5,0.8181818182,7.6,4.1515151515,5,1
359.txt,14,0.5277777778,11.6428571429,4.7708333333,4,0.2857142857
377.txt,9,0.75,10,4.5584415584,4,0.4444444444
389.txt,18,0.6304347826,9,4.2086330935,6,0.3333333333
39.txt,27,0.535483871,13.1111111111,4.5379746835,6,0.2222222222
478.txt,27,0.5779816514,9.6666666667,4.4449541284,13,0.4814814815
551.txt,12,0.6959459459,14.0833333333,4.4966442953,11,0.9166666667
605.txt,22,0.5412371134,10.1363636364,4.3659793814,21,0.9545454545
WRLevel2 Total,159,0.349373764,11,4.4508519004,74,0.465408805
WRLevel2 Average,15.9,0.6173268832,10.8803823954,4.4281446383,7.4,0.5035233285
